Date,TSA,PSI
2009-07-21,0.0,0.0
2009-07-22,0.00019897583,0.00030003
2009-07-23,0.0017907826,0.0015001501
2009-07-24,0.00039795166,0.00030003
2009-07-25,0.0,0.0
2009-07-26,0.0,0.0
2009-07-27,0.0,0.0
2009-07-28,0.0,0.0
2009-07-29,0.0,0.0
2009-07-30,0.0009948793,0.00060006
2009-07-31,0.0,0.0
2009-08-01,0.0,0.0
2009-08-02,0.0,0.0
2009-08-03,0.0,0.0
2009-08-04,0.0,0.0
2009-08-05,0.0,0.0
2009-08-06,0.0,0.0
2009-08-07,0.0,0.0
2009-08-08,0.0,0.0
2009-08-09,0.0,0.0
2009-08-10,0.0,0.0
2009-08-11,0.0,0.0
2009-08-12,0.0,0.0
2009-08-13,0.0,0.0
2009-08-14,0.0,0.0
2009-08-15,0.0,0.0
2009-08-16,0.0,0.0
2009-08-17,0.0,0.0
2009-08-18,0.0,0.0
2009-08-19,0.0,0.0
2009-08-20,0.0,0.0
2009-08-21,0.0,0.0
2009-08-22,0.0,0.0
2009-08-23,0.0,0.0
2009-08-24,0.00019897583,0.0
2009-08-25,0.0,0.0
2009-08-26,0.0,0.0
2009-08-27,0.00039795166,0.00030003
2009-08-28,0.00039795166,0.00030003
2009-08-29,0.00039795166,0.00030003
2009-08-30,0.0,0.0
2009-08-31,0.00039795166,0.0
2009-09-01,0.0022075057,0.0018001802
2009-09-02,0.00019897583,0.0
2009-09-03,0.00039795166,0.00030003
2009-09-04,0.0,0.0
2009-09-05,0.0,0.0
2009-09-06,0.0,0.0
2009-09-07,0.0,0.0
2009-09-08,0.0,0.0
2009-09-09,0.0,0.0
2009-09-10,0.0,0.0
2009-09-11,0.0,0.0
2009-09-12,0.0,0.0
2009-09-13,0.0,0.0
2009-09-14,0.0,0.0
2009-09-15,0.0011938551,0.0009000901
2009-09-16,0.0,0.0
2009-09-17,0.00059692754,0.00030003
2009-09-18,0.00039795166,0.0
2009-09-19,0.0011037529,0.00060006
2009-09-20,0.0,0.0
2009-09-21,0.010943672,0.0015001501
2009-09-22,0.024275055,0.00810081
2009-09-23,0.044371616,0.031503152
2009-09-24,0.025018396,0.02160216
2009-09-25,0.014716704,0.014701471
2009-09-26,0.011221487,0.01140114
2009-09-27,0.0033825894,0.00240024
2009-09-28,0.0119385505,0.0072007207
2009-09-29,0.0063672266,0.00270027
2009-09-30,0.0033112583,0.00120012
2009-10-01,0.0009948793,0.0
2009-10-02,0.0,0.0
2009-10-03,0.0015918066,0.00030003
2009-10-04,0.001392831,0.0
2009-10-05,0.0,0.0
2009-10-06,0.0,0.0
2009-10-07,0.0,0.0
2009-10-08,0.0,0.0
2009-10-09,0.0,0.0
