Date,H_TSA,H_PSI,H_TSA_lo,H_TSA_hi,H_PSI_lo,H_PSI_hi,LZC_TSA,LZC_PSI,LZC_TSA_lo,LZC_TSA_hi,LZC_PSI_lo,LZC_PSI_hi,MI,MI_lo,MI_hi,PE_TSA,PE_PSI,C_LMC_TSA,C_LMC_PSI,H_norm_TSA,H_norm_PSI,D_JS_TSA,D_JS_PSI
2012-07-31,2.570282872544295,2.407761238346405,1.9876773469902802,2.65738527664008,1.9031683353184723,2.4682848646363817,0.5769230769230769,0.6153846153846154,0.5375,0.6153846153846154,0.5,0.6153846153846154,1.845100065928496,1.4061250119563071,2.1285429925248125,0.9941242220356787,0.9835660090398284,0.17332434991003456,0.19814714713700687,0.7737322419802997,0.7248083551419856,0.224010763034026,0.2733786741437204
2012-08-31,2.4202776983191945,2.2577560641213044,1.879748936589473,2.5045326439093265,1.7994427194729916,2.2864066196660957,0.5769230769230769,0.5769230769230769,0.5,0.6153846153846154,0.5,0.6153846153846154,1.6220127943984863,1.1829193293145088,1.842562233593646,0.9941242220356785,0.9941242220356787,0.19836401781645824,0.21859688934829574,0.7285761850333229,0.6796522981950089,0.27226256071955696,0.3216304718292513
2012-09-30,2.545089717465311,2.407761238346405,1.9239764358834823,2.642396286761652,1.8875023606692665,2.4728956042519115,0.5384615384615384,0.5769230769230769,0.5,0.6153846153846154,0.5,0.6153846153846154,1.7720179686250297,1.3040656593954225,2.0005368849854035,0.9803465725850115,0.9941242220356787,0.1752382757740489,0.19814714713700687,0.7661483466161111,0.7248083551419856,0.22872629895768007,0.2733786741437204
2012-10-31,2.695094891690411,2.4361795103140955,1.9609547630526631,2.830086238010678,1.9155080718047304,2.4933597956226605,0.5769230769230769,0.6153846153846154,0.5,0.6538461538461539,0.5,0.6153846153846154,1.8256293956717051,1.322234332706999,2.06085546879145,0.9803465725850115,0.9882484440747059,0.14641975761294682,0.1972448460911044,0.8113044035630878,0.7333631074291973,0.1804745012721493,0.26895932464143957
2012-11-30,2.695094891690411,2.4361795103140955,1.9331959911324679,2.8386561813385236,1.8875386446827345,2.4933597956226605,0.6153846153846154,0.6153846153846154,0.5,0.6538461538461539,0.5,0.6153846153846154,1.8256293956717051,1.2926145391099095,2.0679617998958895,0.9941242220356785,0.9882484440747058,0.14641975761294682,0.1972448460911044,0.8113044035630878,0.7333631074291973,0.1804745012721493,0.26895932464143957
2012-12-31,2.724129026389006,2.4361795103140955,1.9634348400049415,2.8552793930896625,1.9169636088137016,2.5045326439093265,0.5769230769230769,0.6153846153846154,0.5375,0.6538461538461539,0.5,0.6153846153846154,1.7487063187486283,1.337904257940301,2.0163098675483804,0.9941242220356785,0.9882484440747058,0.14107816393830228,0.19724484609110446,0.8200445490055129,0.7333631074291972,0.172037194941898,0.2689593246414397
2013-01-31,2.724129026389006,2.5609915294602117,1.9587212017883058,2.844227407321335,1.9405845447518277,2.6848751001177824,0.5769230769230769,0.6153846153846154,0.5,0.6538461538461539,0.5,0.6538461538461539,1.8735183378961868,1.3371391426198351,2.175510360368517,0.9941242220356785,0.9835660090398284,0.14107816393830228,0.17378658962256138,0.8200445490055129,0.7709352690119853,0.172037194941898,0.22542306287956276
2013-02-28,2.874134200614107,2.685803548606328,2.0466223842957167,3.0232418782171817,1.9857061482097018,2.857510988864411,0.6538461538461539,0.6538461538461539,0.5384615384615384,0.6538461538461539,0.5384615384615384,0.6538461538461539,2.071412454347212,1.4343545552850772,2.3971023075380606,0.9941242220356785,0.9835660090398284,0.1070992007142785,0.14705683023076283,0.8652006059524896,0.8085074305947736,0.12378539725636716,0.1818868011176859
2013-03-31,2.874134200614107,2.685803548606328,2.0383045482629614,3.012966526553984,1.9837558981783905,2.8441065448029965,0.6538461538461539,0.6538461538461539,0.5384615384615384,0.6538461538461539,0.5384615384615384,0.6538461538461539,2.071412454347212,1.4314500927795557,2.4024386115181375,0.9882484440747059,0.9697883595891612,0.1070992007142785,0.14705683023076283,0.8652006059524896,0.8085074305947736,0.12378539725636716,0.1818868011176859
2013-04-30,2.8300862380092355,2.674630700319662,1.9876397508197918,2.9689185639491127,1.9587392367821757,2.830086238010678,0.6153846153846154,0.6153846153846154,0.5384615384615384,0.6538461538461539,0.5,0.6538461538461539,2.0490667577738804,1.4222528194005315,2.3507422799661977,0.9882484440747058,0.9776902310788556,0.11326328239297098,0.14799520090224177,0.8519408479605383,0.8051440681234843,0.13294735504713975,0.18381207384060846
